Bandgap (eV),DOS Peak Position 1,DOS Peak Position 2,DOS Peak Position 3,DOS Peak Intensity 1,DOS Peak Intensity 2,DOS Peak Intensity 3,Phase (Target)
6.84653328,0.09543002,0.243627285,0.448901698,1.385345051,0.572947571,0.768222757,0
6.110045509,0.119834592,0.357884992,0.438062085,1.172122696,0.803627631,0.87610229,1
6.521317815,0.146743672,0.445073301,0.470238023,1.349311631,0.658861031,0.733056409,2
6.768154079,0.091220786,0.259124092,0.254150379,1.448025693,0.563168511,0.604701682,0
6.071761973,0.109662103,0.348545598,0.48209729,1.177840075,0.767104679,0.557046124,1
6.546134191,0.149093439,0.447901235,0.394881133,1.259463742,0.658420241,0.519553407,2
6.798110535,0.087660671,0.251164613,0.477549362,1.43949824,0.570651914,0.873198478,0
6.076911707,0.112837049,0.34135922,0.438401317,1.172987118,0.787289032,0.726780829,1
6.494321714,0.139179196,0.449530494,0.324483973,1.263857983,0.70379072,0.81293607,2
6.799236767,0.081712366,0.250470475,0.225672926,1.421758697,0.567897396,0.78858466,0
6.122585281,0.105935574,0.341783048,0.359197144,1.241894868,0.766395388,0.557962818,1
6.533642511,0.149980535,0.447400807,0.488868138,1.338597919,0.73886675,0.719744632,2
6.805912646,0.08394923,0.24245579,0.209171231,1.353332914,0.562434509,0.809186172,0
6.085346483,0.108065241,0.351010298,0.228306971,1.233267627,0.780356406,0.704326442,1
6.512352303,0.132883832,0.442120874,0.253653169,1.315716341,0.681338227,0.751857049,2
6.844720146,0.088946645,0.259007326,0.297217825,1.44339196,0.644678719,0.728551328,0
6.102669058,0.115067856,0.346922804,0.307589657,1.193766136,0.75721336,0.917189962,1
6.502543447,0.139326588,0.444654782,0.27120782,1.332948349,0.711771391,0.811439846,2
6.753512878,0.09804618,0.259255032,0.375242501,1.448002211,0.568247527,0.533311101,0
6.107352985,0.115707372,0.34352277,0.260164769,1.209203498,0.760966008,0.973387973,1
6.493354118,0.131916214,0.441952356,0.338731352,1.253551106,0.720482684,0.714885503,2
6.814293068,0.090171265,0.259364726,0.203041085,1.411362582,0.618125176,0.644907132,0
6.103747432,0.113019293,0.346413949,0.27410278,1.247725952,0.824281929,0.933363672,1
6.540313253,0.136222642,0.448025334,0.461776565,1.295626353,0.700486798,0.711155541,2
6.800600006,0.08159505,0.254602986,0.3057629,1.373539678,0.560663116,0.828546899,0
6.077714401,0.104437559,0.344071213,0.454248957,1.232603119,0.832269568,0.683479034,1
6.541403577,0.139443518,0.449653273,0.237175528,1.274333329,0.731665815,0.539603405,2
6.813096841,0.094264005,0.252065404,0.283004773,1.412350888,0.637435306,0.507464838,0
6.098554758,0.110358936,0.35910838,0.494940507,1.191144573,0.849366901,0.761527136,1
6.497871603,0.134552314,0.454532022,0.386998911,1.328893013,0.650361008,0.847617028,2
6.834091667,0.097282113,0.250598102,0.38997262,1.409836651,0.550437037,0.873266771,0
6.057794679,0.102257729,0.353591303,0.341778906,1.208526851,0.778164109,0.514212162,1
6.500781538,0.147516035,0.451184584,0.47439515,1.33928449,0.68080096,0.84009099,2
6.834011259,0.098032783,0.254601085,0.222395395,1.381934211,0.576748318,0.843705663,0
6.117056492,0.10295572,0.357068294,0.326240192,1.235410746,0.810230009,0.894569369,1
6.463021559,0.146136724,0.450548754,0.442168821,1.288736876,0.704122873,0.587179453,2
6.839136053,0.095769879,0.241812002,0.295070192,1.359307609,0.581199228,0.743807515,0
6.059491452,0.108543032,0.355021595,0.406587196,1.150196804,0.781727092,0.960118075,1
6.555289398,0.130464125,0.44642793,0.449043404,1.338747945,0.746739597,0.754792928,2
6.843085964,0.082449097,0.242858493,0.443594295,1.398002075,0.590436007,0.687775767,0
6.106634637,0.104038608,0.355254262,0.351303782,1.246079436,0.799786045,0.503584161,1
6.528158025,0.141848451,0.441134397,0.433117692,1.349902817,0.710312044,0.685304731,2
6.771928945,0.092659853,0.255452678,0.233348872,1.401394223,0.593924036,0.619942394,0
6.131210632,0.103650578,0.344462494,0.373838914,1.22615267,0.842027069,0.9380426,1
6.506303431,0.130369979,0.451954402,0.25853083,1.302930428,0.696856022,0.845006296,2
6.775141497,0.092966278,0.240584713,0.475444138,1.449247034,0.552011696,0.989021974,0
6.063808206,0.107441022,0.343683411,0.418194268,1.203358971,0.787446408,0.791399025,1
6.471485397,0.149887349,0.442688724,0.275887474,1.296425781,0.701028199,0.543716093,2
6.817984677,0.08540965,0.257838418,0.492966049,1.447909038,0.573983637,0.959036005,0
