AFM Grain Size (?m),AFM Roughness (?m),Line Profile Std Dev (nm),Line Profile Mean (nm),Phase (Target)
0.505715786,0.120564437,0.331208985,2.672792219,0
0.811668395,0.123798208,0.217574147,1.612979763,1
1.287848515,0.051336655,0.498941171,1.254249573,2
1.363135125,0.072849783,0.384009729,2.940590283,0
0.820950766,0.098741062,0.340569764,1.562747831,1
1.448357309,0.131970481,0.12657732,1.497319133,2
0.804914811,0.068705215,0.141889675,2.727790485,0
1.042019737,0.12971413,0.105445742,2.285496934,1
1.447881589,0.135169336,0.370507791,2.223756083,2
1.181008888,0.062827376,0.459803205,1.476979232,0
0.889644027,0.081769879,0.420012249,1.939493902,1
0.741507395,0.109138634,0.406427758,2.560016924,2
1.448522919,0.074168307,0.271511286,1.54708952,0
0.759167785,0.07931671,0.243603823,1.723296626,1
0.741260655,0.117516561,0.16404003,1.90928203,2
0.790994453,0.094402135,0.321625014,2.506020374,0
0.542196878,0.129538016,0.155181967,1.113434575,1
1.195526607,0.050885156,0.203432031,1.296615753,2
1.344755898,0.136524569,0.211964883,2.924149736,0
1.234066154,0.076186312,0.143586948,2.122199164,1
1.313182019,0.072268907,0.23065073,2.21358409,2
0.838192187,0.114343397,0.195624925,2.602583861,0
0.610832013,0.075075062,0.202841618,1.7383144,1
0.913772589,0.058948105,0.213185359,2.220917405,2
1.118795282,0.12258213,0.335213819,1.804346066,0
1.017765675,0.120869925,0.393548381,1.62805989,1
1.312161958,0.078689044,0.1384818,2.008478247,2
0.657691997,0.131104068,0.230073996,2.301637915,0
1.194921204,0.129486867,0.304991141,2.038304044,1
0.692581486,0.125689167,0.207566941,1.593720533,2
1.407316134,0.063192497,0.43766821,1.421162515,0
1.322154365,0.075884559,0.299611478,2.47763275,1
0.750737179,0.149382992,0.142651095,2.669593932,2
0.901786481,0.064181111,0.351502802,2.061320887,0
1.429685447,0.072576573,0.279939522,1.960239795,1
0.724678375,0.129130102,0.177006977,1.13414679,2
0.920823397,0.069271749,0.15625923,2.177546825,0
1.355295742,0.123008319,0.278160105,2.159469617,1
1.239087596,0.103200645,0.121308671,1.254408925,2
0.569729977,0.071203364,0.267080333,2.483419149,0
0.656304602,0.137876648,0.217708776,1.520756057,1
1.343628896,0.079214586,0.111730589,1.380093274,2
1.014950024,0.062238914,0.106780308,2.141804542,0
0.910543165,0.14181344,0.185012209,2.380536887,1
1.117389499,0.125097322,0.34255399,2.945397433,2
0.906187708,0.063264058,0.411031769,2.163319534,0
0.931300779,0.144762334,0.244852889,1.028659838,1
0.523672036,0.071345743,0.424562974,1.922400335,2
0.647864635,0.123362231,0.318930874,2.051037751,0
1.471533631,0.064997906,0.237360531,2.261414769,1
1.279509592,0.064056228,0.405398056,2.331236409,2
1.195037528,0.128510154,0.40619995,1.834456072,0
0.602237853,0.129061578,0.416300109,1.66377955,1
0.623620094,0.138946229,0.169457041,2.662128918,2
1.111058832,0.133026396,0.453793712,2.945369307,0
1.130936153,0.126995214,0.266963257,2.512953412,1
1.453971387,0.083830968,0.274416225,1.935227197,2
1.023107294,0.070331553,0.215266566,2.450516815,0
1.219780181,0.093685771,0.4533537,2.048340901,1
0.706636941,0.095544659,0.119314285,2.421533086,2
1.008701726,0.110618566,0.250169618,2.650658782,0
1.210847171,0.140032237,0.236772534,1.50296849,1
0.632486834,0.088944393,0.203835529,2.314077055,2
1.363128591,0.096397831,0.472689819,2.045520496,0
1.030575628,0.06114034,0.227544418,2.03599069,1
0.958586539,0.124068602,0.343674543,2.54077839,2
0.839154651,0.066059731,0.148676894,1.859755706,0
1.034494439,0.14056861,0.21578326,2.563708653,1
0.510596649,0.052369457,0.485842723,2.206951164,2
1.134689169,0.134221234,0.212471976,2.337943718,0
0.565377348,0.073619458,0.12309071,1.463595515,1
0.849747007,0.079033545,0.434801547,1.88551887,2
0.655590927,0.115387889,0.323933538,1.922706634,0
0.700606064,0.073764619,0.18519626,1.526408867,1
0.596328376,0.07378445,0.271822997,2.885493826,2
0.985258607,0.063628965,0.452517827,2.098339818,0
0.918398226,0.123528325,0.426056839,2.097448639,1
1.072546207,0.096084584,0.467050527,2.67038219,2
0.90943538,0.129963904,0.308578389,2.850850779,0
1.132127176,0.086362086,0.278764301,1.183112222,1
0.994822766,0.066538792,0.279998507,1.300573493,2
0.586069231,0.139449729,0.233777544,1.024340199,0
0.70464931,0.135509125,0.484340905,2.946276854,1
1.02291554,0.11396752,0.33656313,1.895178494,2
1.205621476,0.117592287,0.243985674,2.208232894,0
1.404828754,0.131818971,0.130645964,2.408654964,1
1.284935314,0.118159858,0.271147864,1.000897498,2
0.642417349,0.06424062,0.450580484,2.900360938,0
0.726333745,0.09605764,0.448623436,1.760778312,1
0.97658333,0.148117792,0.294639631,1.081098437,2
0.861467319,0.110508162,0.35847969,1.391155339,0
0.558767875,0.064702796,0.466192112,1.974578315,1
1.15256562,0.05789564,0.4942231,1.067677959,2
1.433655664,0.121518334,0.472379831,2.377337758,0
0.63730291,0.137178684,0.413845093,1.275182315,1
0.766680106,0.0663175,0.476133683,2.058782563,2
0.923379152,0.137377097,0.382317425,2.834000196,0
1.494613129,0.098767388,0.434834055,1.188010094,1
0.936868333,0.145620668,0.460448363,1.638873198,2
0.849155995,0.125170197,0.166144484,2.709725615,0
1.172718223,0.093234258,0.35417283,2.251458976,1
0.693246422,0.145960303,0.12030822,1.345235935,2
0.689547654,0.080038935,0.26524274,1.673707987,0
0.702581172,0.113631671,0.306172019,2.034214564,1
0.595480178,0.129834578,0.100880531,1.927344623,2
0.752302746,0.091060427,0.222887922,2.574122503,0
0.700201971,0.133468133,0.274133798,2.72512462,1
1.139332153,0.091014043,0.291850001,2.368624121,2
1.149452525,0.118364177,0.476472299,2.525598798,0
1.005354234,0.090457522,0.460455409,2.111872379,1
0.547486746,0.124596684,0.164632306,1.704326076,2
1.417477708,0.070580372,0.270907046,2.696175369,0
