FTIR Peak 1 (cm?¹),FTIR Peak 2 (cm?¹),FTIR Peak 3 (cm?¹),Bandgap (eV),DOS Peak Position 1,DOS Peak Position 2,DOS Peak Position 3,DOS Peak Intensity 1,DOS Peak Intensity 2,DOS Peak Intensity 3,AFM Grain Size (?m),AFM Roughness (?m),Line Profile Mean (nm),Line Profile Std Dev (nm),Phase (Target)
1207.390599,835.4267777,982.7838351,6.84653328,0.09543002,0.243627285,0.448901698,1.385345051,0.572947571,0.768222757,0.505715786,0.120564437,2.672792219,0.331208985,0
1286.104271,882.3630067,901.6555475,6.110045509,0.119834592,0.357884992,0.438062085,1.172122696,0.803627631,0.87610229,0.811668395,0.123798208,1.612979763,0.217574147,1
1225.440084,923.1937367,717.8144178,6.521317815,0.146743672,0.445073301,0.470238023,1.349311631,0.658861031,0.733056409,1.287848515,0.051336655,1.254249573,0.498941171,2
1208.131225,835.381309,793.9500096,6.768154079,0.091220786,0.259124092,0.254150379,1.448025693,0.563168511,0.604701682,1.363135125,0.072849783,2.940590283,0.384009729,0
1284.402027,880.7497852,880.5837432,6.071761973,0.109662103,0.348545598,0.48209729,1.177840075,0.767104679,0.557046124,0.820950766,0.098741062,1.562747831,0.340569764,1
1225.363473,922.4739719,817.459588,6.546134191,0.149093439,0.447901235,0.394881133,1.259463742,0.658420241,0.519553407,1.448357309,0.131970481,1.497319133,0.12657732,2
1214.116775,839.8598111,912.0174933,6.798110535,0.087660671,0.251164613,0.477549362,1.43949824,0.570651914,0.873198478,0.804914811,0.068705215,2.727790485,0.141889675,0
1288.623869,876.493326,772.2768014,6.076911707,0.112837049,0.34135922,0.438401317,1.172987118,0.787289032,0.726780829,1.042019737,0.12971413,2.285496934,0.105445742,1
1227.294279,923.5331436,966.7565653,6.494321714,0.139179196,0.449530494,0.324483973,1.263857983,0.70379072,0.81293607,1.447881589,0.135169336,2.223756083,0.370507791,2
1208.179449,838.6179289,712.5915603,6.799236767,0.081712366,0.250470475,0.225672926,1.421758697,0.567897396,0.78858466,1.181008888,0.062827376,1.476979232,0.459803205,0
